gene	lowMean	highMean	logFC	pValue	fdr
ACTL8	0.303734485094851	2.74625102171137	3.17658087923775	2.01987648323751e-05	7.60251778506863e-05
LINC00261	14.8245839430894	7.20461800766284	-1.0409977704698	9.02334517741162e-13	1.59150270266977e-11
LRRK2-DT	15.6842304878049	7.81901213282248	-1.00425649663148	2.23503514071626e-09	1.93454584678522e-08
CFTR	9.11558807588076	4.41382726692209	-1.04630556063751	1.68203006572754e-11	2.27617282590943e-10
KLK11	53.2759533875339	24.8450584929757	-1.10052556721155	6.70577015866976e-12	9.90710597188687e-11
PRG4	30.1967879403794	3.50170051085568	-3.10826749182723	7.37524089265969e-05	0.000243032146830509
AP000695.1	1.31556985094851	3.04613378033206	1.21129145233363	1.94230855371079e-21	1.83558714350418e-19
B3GNT3	39.0050530487805	80.715272669221	1.04918064601953	1.59580638392538e-19	1.10116973055867e-17
LYPD5	1.92858414634146	4.12755868454662	1.09774663336236	2.08398830766244e-14	5.23677350895118e-13
UBE2C	63.8184713414634	145.455123754789	1.18852816030142	4.71882726427874e-21	4.18651465808893e-19
CLGN	5.60367317073171	11.3351875478927	1.01636354215767	0.025031157909716	0.0415330920698522
AHNAK2	12.1275819105691	26.5078415070243	1.12812727490535	9.12601556068266e-15	2.46034549743738e-13
CDK5R2	1.38423279132791	3.01796538952746	1.12448967441013	2.59499436060673e-08	1.81733213598834e-07
STEAP1	32.7915203929539	70.5906402298851	1.10615411157224	2.99452279790122e-18	1.64784040926279e-16
DSC2	10.0498678861789	20.9757349936143	1.06154482774059	3.72091686366047e-22	4.04273091997133e-20
DLEC1	3.53788279132791	1.49405300127714	-1.24365492450092	1.66803002146883e-06	8.05481089789544e-06
AFF3	2.4322804200542	1.06943339719029	-1.18546293185151	5.28466729632175e-17	2.21968791342365e-15
C9orf24	13.7792473577236	5.72511372924649	-1.2671208304104	0.00282021965229314	0.00617799039511005
MIR126	5.11218990514905	2.53774642401022	-1.01039351000585	1.06519229173187e-06	5.37199210003639e-06
RSPO3	1.73787953929539	10.0653828224777	2.53400205348183	0.000103618162052266	0.000329459904905258
AC112722.1	1.63909884823848	0.817414942528736	-1.0037623393807	1.39259637134125e-10	1.54931914915246e-09
PKIB	8.56639674796748	21.1148251596424	1.30149589949886	2.10567379541637e-09	1.83628694225152e-08
LINC01614	6.30601619241192	13.0875759259259	1.05339712714362	4.90250160179619e-12	7.4977660821138e-11
MS4A8	15.7910662601626	7.64315600255428	-1.04686820732759	1.65067105933951e-05	6.32514743297813e-05
CDHR2	1.06007953929539	4.82040089399745	2.1849806184437	1.50877856035515e-09	1.3530763479121e-08
PCDH7	4.10238319783198	10.6958489782886	1.38251683699471	1.05556731052541e-14	2.79805792114731e-13
MAGEC1	0.738728590785908	3.62058090676884	2.2931048701201	0.00166690854895735	0.00388706889604658
AC007686.1	0.605647222222222	1.87875504469987	1.63322737643359	8.9072977262422e-05	0.00028779078439544
POPDC3	1.23538692411924	5.05053141762452	2.03147223066253	1.45595396930451e-05	5.64746454879235e-05
VWDE	1.49843888888889	3.03196385696041	1.01679230836866	3.64128496170613e-05	0.000129356283570739
SRGAP3-AS2	7.66462262872629	3.28390140485313	-1.22280394926723	0.0290649911706952	0.0473231396504887
C6orf118	2.96561917344173	1.37040855683269	-1.11372728291827	0.0303843227623463	0.0491857185360678
PLAU	83.3732452574526	240.473483652618	1.5282214231932	4.24170559631138e-20	3.16562311649178e-18
AC239859.5	0.379186856368564	2.20357860791826	2.53886750002637	5.78289142179615e-12	8.7063808600531e-11
TFPI2	149.313237940379	352.296215389527	1.23844689765454	2.66799983428819e-05	9.75275365113251e-05
SNTN	5.83596029810298	2.75901877394636	-1.08081479502045	3.48932258070612e-05	0.000124514324555507
AC022733.1	15.6768457317073	5.92093652618135	-1.40473801748051	9.40624868610593e-07	4.79663514377408e-06
GREM1	9.04723834688347	19.00845651341	1.07109200545144	7.64521657590871e-13	1.36211753113193e-11
MCM10	3.78276077235772	8.27139795657727	1.1286916402136	2.20459811104792e-22	2.55235106138201e-20
HOXB9	10.0956817750678	26.2286314176245	1.37740419014847	4.21712076116121e-05	0.000147518633908333
IGHD	255.698398509485	126.868221966794	-1.01111237746392	1.44322927099787e-05	5.60185575745133e-05
ANKRD44-AS1	6.14495569105691	2.70158039591315	-1.18559899236634	0.000505249373219595	0.00135562125457731
MELK	11.7697739159892	24.0025088122605	1.02809860030387	7.26854901786451e-23	9.22575174245591e-21
PRDM16-DT	3.24090426829268	0.94766091954023	-1.77395355708272	2.15171080212198e-20	1.68540987108555e-18
VWA3B	2.65236402439024	1.29665210727969	-1.03248733673605	0.00227407440123802	0.00510639660282226
AC079384.1	6.69091761517615	2.15832848020434	-1.63228963243848	2.53310814431668e-10	2.65663365583533e-09
GTSE1	5.93136646341463	12.8540591315453	1.11578759912896	1.8326960410782e-26	7.38579706568685e-24
PKP2	4.76361090785908	14.7655378671775	1.63210642709328	2.72107792968707e-19	1.79911878780717e-17
EREG	10.4930419376694	29.6405367177522	1.4981385950606	1.0357245202365e-10	1.1856625202365e-09
AC022146.2	1.49586754742547	0.736206641123882	-1.02279976744007	3.17912020941627e-10	3.25953545527945e-09
LAMA3	14.727387804878	32.6520922094508	1.14867387418814	0.000535131447959384	0.00142567806780538
DUOXA1	14.7546618563686	6.70703480204342	-1.1374238646607	6.23979500317603e-09	4.94999066196296e-08
TMPRSS11E	9.08198719512195	35.6584803959132	1.9731653153064	1.23473116416841e-14	3.22965783258988e-13
KIF18A	3.72365067750678	7.59519533844189	1.02836933204557	8.78764398729894e-27	4.1707668242559e-24
SLC14A2	8.88616117886179	1.37241462324393	-2.69484390627868	1.02139550135644e-14	2.72006375299678e-13
KRT81	6.33992777777778	78.3625352490421	3.62762576271673	3.36525729871985e-09	2.80664072745513e-08
BTNL9	5.67435819783198	2.28427356321839	-1.31272178728921	2.10634794589128e-12	3.48831280296223e-11
RNU6-247P	4.81237872628726	2.0539098339719	-1.22837733554273	6.72793727489365e-05	0.000223848410411182
AL137018.1	4.20078787262873	1.30981424010217	-1.6812977148185	3.16532716955714e-13	6.12938464937963e-12
NUDT11	0.926274796747968	2.4710901660281	1.41563548863027	1.31739110392721e-05	5.16998135073747e-05
SNAI2	7.70904769647696	16.4651795657727	1.09479368651508	5.22327221846181e-08	3.41842230360679e-07
DRAIC	1.92426632791328	0.715620114942529	-1.42704264407465	1.67634774838598e-18	9.58881940680388e-17
AC207130.1	0.855978726287263	2.54171392081737	1.57015481212476	0.0270905131830703	0.044462192896688
TTK	5.11286280487805	11.200774137931	1.13139522778787	7.51010089470471e-25	1.74124192610694e-22
AC007849.1	1.78522411924119	0.703747254150702	-1.34297591006773	5.95228239838651e-06	2.54310168613128e-05
CYP2B7P	225.142651626016	58.2907443805875	-1.94950066040718	2.25782184771569e-22	2.56609569345935e-20
NDP	0.779787533875339	3.3729659642401	2.11286476425952	0.00106313069599634	0.00261852403295756
GREB1L	0.859368089430894	2.46425332056194	1.51980245776153	6.76497036613759e-17	2.78758458997077e-15
RERGL	6.56363719512195	2.31907503192848	-1.50094599807198	2.12099318783045e-12	3.50541388327981e-11
INMT	35.6940071138211	14.781906449553	-1.27184952314507	9.99245521595186e-15	2.67321236538749e-13
IL22RA1	2.89033882113821	7.43482707535121	1.36306056426146	7.20951013030558e-11	8.55158060408484e-10
ELOVL6	5.45541653116531	12.1241673052363	1.15212440727171	6.52036339031941e-23	8.65516022856979e-21
LINC02320	0.856828726287263	1.85857573435504	1.1171187229753	6.7912149863361e-06	2.8614595928616e-05
IGLVI-70	5.60913895663957	2.75035057471264	-1.02816379956568	0.00588906534351427	0.0117679794597069
AC112721.2	0.647421680216802	1.75765683269476	1.44087584122426	3.63649703221001e-09	3.01693926016698e-08
COL22A1	1.49641964769648	3.90247081736909	1.3828730303583	2.31849294641705e-08	1.64221074726053e-07
LY6G6C	0.646141463414634	1.84377650063857	1.5127418233777	0.0093447255980619	0.0176223222453854
TMEM213	6.41210040650406	2.3660650063857	-1.43830730519527	4.54152743452407e-07	2.46259589558641e-06
TPPP3	83.8622850271003	39.5951512132823	-1.08269837039189	2.33881689693148e-08	1.654584500437e-07
MAGEC2	3.99053766937669	9.14113978288633	1.19579091945747	0.000782029974215796	0.00200069430949514
AC112907.2	1.00624491869919	2.11175664112388	1.06946209009684	1.90711092236368e-08	1.37776285122485e-07
KLK6	2.76885901084011	13.5066777139208	2.28630935416314	9.89413273083727e-11	1.13713862562148e-09
KCNF1	0.925472696476965	3.16239074074074	1.7727533030735	5.46108895143833e-11	6.68323957501235e-10
SERPINB5	5.248475	24.2813206257982	2.20987669136212	5.71147936959387e-08	3.70447276232256e-07
TFF1	215.177230691057	479.870951851852	1.15712105969724	0.0044291572745431	0.00915906955012843
PIGR	1029.84279674797	441.159918518519	-1.2230505036958	3.88991024093518e-12	6.10484198372038e-11
VEGFD	11.0030407859079	4.26629942528736	-1.36684515193389	1.55057751772825e-11	2.11640443137963e-10
ZBTB16	8.99438617886179	3.77240095785441	-1.25354180408475	6.9175328790466e-09	5.43801895270078e-08
RSPO1	1.63343685636856	0.472338633461047	-1.79001723955757	2.09021417006954e-06	9.91546839259615e-06
STUM	6.21507798102981	1.76425280970626	-1.81671518539558	2.18939667783504e-15	6.83508417071338e-14
C20orf197	4.73713726287263	2.07301047254151	-1.19228807118241	2.63123486793212e-13	5.18171496245432e-12
SEMA7A	11.1698003387534	26.2930730523627	1.23507937176645	2.62886958725278e-15	7.96400927748059e-14
IGKV1D-16	73.0858323170732	29.0963512771392	-1.32875351844472	0.00220163411274701	0.00496488335968847
CFAP65	1.63688753387534	0.748894636015326	-1.12812054007557	0.00287657320212953	0.00628638072286419
MSX2	2.20551063685637	4.83656417624521	1.13286982375027	8.22275132141686e-14	1.80765389036811e-12
AC089983.1	1.68517574525745	3.54564814814815	1.07315032127222	9.39734427929715e-06	3.82694191270956e-05
AC003965.2	2.311772899729	4.72992318007663	1.03281707294875	7.92268855194464e-08	4.99520055220324e-07
GFRA3	58.5479361788618	25.4598486590038	-1.20139447301358	9.82697003981097e-15	2.64113109771674e-13
FSCN1	57.7882895663957	160.50285798212	1.47374991244193	5.78009826685747e-25	1.37685107893677e-22
AC129507.2	5.10406849593496	2.46145197956577	-1.0521380956836	9.23248083196798e-11	1.06957767612985e-09
SH3PXD2A-AS1	0.739415447154472	2.35916149425287	1.67381709198752	2.76461936813585e-13	5.42101123182469e-12
SPOCK1	4.14397933604336	13.9369926564496	1.74983057390248	1.31808808662503e-15	4.30023147060462e-14
AL135999.3	24.7713695799458	9.92983020434227	-1.31883268206778	1.83568845194039e-17	8.31270481531027e-16
SCGB2A1	32.2207056233062	9.70128007662835	-1.73174106145654	0.00218319655943403	0.00493225996777944
PRDM16	7.86940243902439	3.56527292464879	-1.14224156881028	3.2402620652806e-15	9.63165171359146e-14
RPL10P19	3.93887208672087	1.86160696040868	-1.08123405677983	4.59885540448376e-19	2.91859476746599e-17
STC1	15.8908321138211	42.134874201788	1.40682014535175	1.77882961067305e-16	6.9199257494393e-15
FRG1FP	1.19124837398374	3.19832630906769	1.42484289230682	0.0258407298384163	0.0426484862528684
SPHK1	7.1764870596206	17.2349164750958	1.26398459436036	5.2473894610149e-27	2.94344694637381e-24
SEC14L6	9.34747777777778	4.39670881226054	-1.08815314821288	6.42547397336217e-08	4.1290675137766e-07
TSPAN11	17.7974376693767	8.56488550446999	-1.05516368304003	8.72146098250232e-06	3.57514108969196e-05
MYBL2	40.2168881436314	91.8918432311622	1.19213535178392	3.74305410383222e-22	4.04273091997133e-20
CRHR2	1.4509539295393	0.673897254150702	-1.10640115934288	9.39840396245025e-05	0.000301640543564133
MUC2	0.21990325203252	2.01839559386973	3.19826811733175	0.00046808158515311	0.00126389296338935
GJB5	3.10293726287263	10.2884856960409	1.72932422277914	9.47239759009676e-08	5.86384911691679e-07
LRRC36	5.15746666666667	1.47200874840358	-1.80887634622113	1.14732009044341e-14	3.02742777734757e-13
AC108215.1	4.41132527100271	1.84093365261814	-1.2607745093123	4.10403545419039e-12	6.42349887605011e-11
FAM83A	38.4670243224932	114.55924054917	1.57439969654043	4.22982936418033e-16	1.51342598382164e-14
MIR548V	3.26493780487805	1.40248978288633	-1.21906524868752	0.00526713417476353	0.0106649040713744
NKAIN4	1.1782689701897	2.97880836526181	1.33806640512514	6.40106578301583e-05	0.000214177665770372
IGFALS	5.69214525745257	2.10738825031928	-1.43351634778545	4.76675303420583e-17	2.01676565722154e-15
COL7A1	4.27915304878049	13.0423053001277	1.60780171186747	4.13475163705371e-13	7.8406975154555e-12
SCGB3A2	1949.80144430894	430.955223754789	-2.17771733012873	4.73005564106122e-17	2.00612042786375e-15
F2	0.403408468834688	4.48486909323116	3.47475259943404	0.000198848195670912	0.000586958287985315
UBE2SP1	1.3831039295393	2.84260172413793	1.03930240980227	2.71383270338526e-12	4.38169330354376e-11
MIR4260	0.74135189701897	1.73423307790549	1.22606739395954	3.76470820684026e-06	1.67428416902162e-05
CFAP52	4.27498495934959	1.9066908045977	-1.16484843385208	0.00892629958422157	0.0169250270930137
CDC20	38.0721626693767	83.1655393997446	1.12724933108949	9.04303028102942e-25	2.06906912574764e-22
HJURP	9.17879410569106	19.8854719029374	1.11533826681539	1.51291106484061e-24	3.16963982006185e-22
BPIFB2	70.4467262195122	23.3511740740741	-1.59303757452692	0.0113760435295182	0.0208867714219393
HMGA2	0.767189769647696	7.74979093231162	3.33650200354349	1.0929531864214e-12	1.89708100749064e-11
KLK13	16.1765695799458	6.82377630906769	-1.24526344139627	6.13573402525336e-10	5.97392379424024e-09
LINC02253	0.624137059620596	1.57275587484036	1.33335996838612	0.0180320707297508	0.0312902582496394
PKMYT1	4.71907323848238	9.58939061302682	1.02293557590845	3.89169364732352e-26	1.38107471088385e-23
AC113349.1	1.65241971544715	0.582878671775223	-1.50331266078402	0.0236645798449324	0.0395866646391082
AP003071.5	1.73897872628726	0.860482183908046	-1.01502305660408	0.0193573047730791	0.033264626409974
AL663070.1	6.98563597560976	3.32911104725415	-1.06925447081954	5.52500729883816e-08	3.59559700297518e-07
ATP8B3	1.49897201897019	3.51426468710089	1.22924940320678	7.84572211358161e-16	2.64913598514303e-14
IL1R2	3.15365162601626	9.51885057471264	1.5937640760313	5.19339067078819e-13	9.68968566248238e-12
IGFBP1	0.751433265582656	14.5974330140485	4.27992589576136	2.54865787236285e-09	2.17461294124228e-08
AC138649.5	2.02644627371274	0.953070689655172	-1.08829679783041	5.67450362259979e-14	1.30348670400776e-12
C11orf16	4.75200514905149	2.02233952745849	-1.23251116995993	1.61741244230788e-09	1.4415779066782e-08
