Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-55-6970-11A-01R-1949-07	0.0338368603292613	0	0.0420619777875099	0.0819223072015512	0	0.327252359908522	0.015838287275599	0.01027986147456	0	0	0.040526163314059	0	0.0393730629531191	0.114236882148547	0.0821482502877561	0.0928616482306322	0.0111759491373659	0.00161736969151178	0.0757806544586307	0	0	0.031088365801374	0.053	0.144080192734781	1.02658842693255
TCGA-55-6975-11A-01R-1949-07	0.126407743755151	0	0.0904681115769199	0.105783494383455	0	0.17720694894681	0.0211896394000083	0	0	0	0.037852696048242	0	0.0398128414330415	0.0896126316493052	0.0137927422557862	0.105007196259924	0.00260773099322848	0.00207779878392949	0.115577776844912	0	0.0228971778906007	0.0497054697786858	0.003	0.330325661401882	0.945544266679972
TCGA-50-5931-11A-01R-1858-07	0.00732490159042868	0.00373358600430054	0.0290088804623021	0.0664691965214335	0	0.194018112372553	0	0	0	0	0.00326069987930673	0.100942248383996	0.0182974708396807	0.193416649089453	0.00962134238024641	0.190459821440269	0.000267995568580445	0.0668038131963354	0	0.107349502721284	0.00401202475585377	0.00501375479397588	0.052	0.147192971582278	1.03704439487719
TCGA-50-5930-11A-01R-1755-07	0.135671360946928	0	0.096085847789035	0.130123182788433	0	0.0476037375392933	0.00999775532508787	0.000859940371321761	0	0	0.0377371304474207	0.0199994325673731	0.0331941758294869	0.105994092621852	0.0101444771214229	0.151829945793599	0.02252825971149	0.00411464795401729	0.120457745835883	0	0.024372717157506	0.0492855501998512	0	0.375235061962987	0.926481257570384
TCGA-55-6969-11A-01R-1949-07	0.00955699651844868	0.0868443006537915	0.0453357406640778	0.101875673240283	0	0.144106584311445	0	0.0486140436006242	0.042015616008098	0	0.063305228606692	0	0.0529802688271089	0.161819531020484	0.00471428883780675	0.145120552120746	0.00279730585933047	0.0288022808697864	0.0326590772664561	0.00191295750663041	0.00486588440707267	0.0226736696811183	0.019	0.227393886276747	0.99006165708423
TCGA-49-6744-11A-01R-1858-07	0.0611801178255452	0	0.0300981602875507	0.126092608469918	0	0.204543840892054	0	0	0	0	0.00266210307484368	0.0450480936632154	0.0195659375523537	0.117104002356468	0.0154640040242063	0.169401777044539	0.0167540832410202	0.0123355573747894	0.138183995389196	0	0.0201587014357765	0.0214070173685232	0.024	0.203919578286039	0.997623990241962
TCGA-91-6847-11A-01R-1949-07	0.0401996249693574	0	0.0543667752013033	0.0664516831906265	0	0.118490692241826	0	0.00897751207241225	0	0	0.0500742156337663	0	0.03160047634699	0.240656148332322	0.00118511357478749	0.289041154009725	0	0.0166572442384408	0.0298919531042322	0	0.00820530233613241	0.0442021047480781	0.03	0.190831853109883	1.01651016180654
TCGA-44-2662-11A-01R-1758-07	0.0676363541630249	0	0.0144745545474961	0.0716476194391297	0	0.246342093723885	0.00284481390645817	0.00549973377573491	0	0	0.03473281912346	0.0134587659896522	0.0817954403238003	0.0397494636489705	0.0251810876501598	0.210343423273424	0	0.0322521145952181	0.00167983487278758	0.0457047200422467	0	0.106657160924552	0.075	0.12204587069433	1.03480265401187
TCGA-55-6972-11A-01R-1949-07	0.0935099596324789	0	0.049730907390552	0.196078296164274	0	0.175417591307301	0	0	0	0	0.109219147156363	0.0191889039751392	0.0373000788671717	0.0785479190990849	0.0243428175064868	0.126847174957187	0.0165523297892545	0.00192659047061474	0.0551520284173608	0	0	0.0161862552667315	0.013	0.262740251345751	0.980183493130475
TCGA-44-6776-11A-01R-1858-07	0.00807181538074796	0	0	0.0831195244385017	0	0.20149093872017	0	0.00196785173412163	0	0	0.103859087560561	0.00346910612751447	0.0163951058579413	0.155648600770195	0.00967368108288233	0.150255407690615	0	0.156121236157296	0.0436043326472361	0	0.0632998560177586	0.00302345581445847	0.034	0.173368665190561	1.01756413025794
TCGA-44-6777-11A-01R-1858-07	0.0186853258550373	0.00577149463988091	0.0660881490703475	0.0956731616688409	0	0.146838271115062	0	0.0157074816536744	0	0	0.028272969000181	0.0345648909721156	0.05099168621738	0.145882141073396	0.0481616660959348	0.149414091955323	0.0222899791941509	0.00489910822206723	0.129969063125357	0	0	0.0367905201412513	0.038	0.167055213151777	1.01012953015779
TCGA-50-5933-11A-01R-1755-07	0.107049253000375	0	0.0584335399785519	0.0727019614336077	0	0.227077238860849	0	0	0	0	0.0470414042064813	0	0.073702908943258	0.0111920938474886	0.0205428683516757	0.142897306429181	0	0.0290847468900651	0.0314365025549932	0.0384337028343934	0	0.14040647266908	0.016	0.236841687360667	0.987193555766201
TCGA-55-6980-11A-01R-1949-07	0.100234996562498	0	0.0808073756587028	0.0881251306807414	0	0.247630271564361	0.0069841712120441	0.026882548800542	0	0	0.0609887444029566	0	0.0252643537372708	0.058870539432352	0.0459120166924092	0.111114731278689	0.0184730783706771	0.00376132221850219	0.103585037977849	0	0	0.0213656814104053	0.00700000000000001	0.286011993374427	0.964750067823175
TCGA-55-6981-11A-01R-1949-07	0.0189092072574314	0	0.00681876607956357	0.0648180886510313	0	0.116788167231872	0.024671483929744	0.0149495863970198	0.00512491797852535	0	0.063618781192197	0.0010184461219338	0.0323538782179715	0.202422252938582	0.0276744029144003	0.232752972521098	0.0148857295475783	0	0.138569332588238	0	0	0.0346239864328138	0.035	0.172394133658834	1.01567332897838
